sample_size,seed,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,positive_frequency_wilson95_low,positive_frequency_wilson95_high,comparison_sample_size,is_largest_sample_reference,abs_difference_vs_largest_mean_net_benefit_eur,abs_difference_vs_largest_probability_positive,abs_difference_vs_largest_p10_net_benefit_eur,abs_difference_vs_largest_worst_decile_mean_eur,abs_difference_vs_largest_p95_regret_eur,within_diagnostic_tolerances,metrics_evaluated
2500,20260726,combined_private,Deep renovation + PV,False,True,-672983.0018533729,-725247.118517238,-1360607.9860183566,49771.34157280182,0.116,0.116,-1598393.9661066981,775499.66892431,1521652.2784145405,0.022,725185.2604112278,5.3664,0.116,0.0,0.0,0.0348,4,False,0.10403236111306582,0.1291459245023831,25000,False,4238.252050417708,0.004199999999999995,16738.482986993622,16345.25617933902,35908.519409274915,False,5
2500,20260726,combined_private,Envelope + heat pump,False,True,-92496.12050399643,-125644.52703287955,-460153.64200479747,311506.1337797423,0.338,0.338,-578747.1854170526,195012.78757493352,541590.0004733889,0.196,338130.1032611671,2.54,0.338,0.22833708611059655,0.37435547296712046,0.31234239567720096,3,False,0.31971872915856375,0.35677836008545377,25000,False,862.8886660236603,0.006079999999999974,8419.755699998525,10086.910588027444,19349.97379820922,True,5
2500,20260726,combined_private,Envelope retrofit,False,True,28119.17833982874,12652.73770135963,-155300.8739758914,227374.25281086224,0.5332,0.5332,-209619.33708644437,74397.48873110836,240208.63156169804,0.3152,83664.03041798288,1.504,0.5332,0.7205075505514075,0.5126527377013597,0.5915661008884685,1,True,0.5136076199246875,0.5526905074648101,25000,False,357.25142527264325,7.999999999996898e-05,2867.8428328360897,3976.1003408700926,4914.219189651631,True,5
2500,20260726,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,102516.66707093711,455554.1239979185,0.4668,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,0.0,0.001534226061782461,25000,False,0.0,0.0,0.0,0.0,23408.899005504383,True,5
5000,20260726,owner,Deep renovation + PV,False,True,-2006280.350368866,-1980435.8895557257,-2455477.701877657,-1591888.7304155545,0.0,0.0,-2679110.5656661014,2006280.350368866,2626869.978162644,0.0,726973.1264728542,5.3774,0.0,0.0,0.0,0.0,3,False,0.0,0.0007677019450571244,25000,False,519.1477304256987,0.0,1711.0226247948594,17335.4291592245,23855.248609994072,True,5
5000,20260726,owner,Envelope + heat pump,False,True,-845324.0354743242,-830904.7119081432,-1047600.5583980472,-657309.6655077905,0.0,0.0,-1157724.6859816767,845324.0354743242,1125392.585637999,0.0,338875.6267006598,2.5478,0.0,0.0,0.0,0.0,3,False,0.0,0.0007677019450571244,25000,False,1046.0226365269627,0.0,547.8046289264457,10571.25847059302,7018.268634447129,True,5
5000,20260726,owner,Envelope retrofit,False,True,-347409.63460550323,-341718.2019333229,-446025.2231989068,-255277.92450747304,0.0,0.0,-490547.08982369635,347409.63460550323,479081.0808124456,0.0,84092.68577302963,1.5094,0.0,0.34593721356840484,0.1582817980666771,0.1764766540722787,2,False,0.0,0.0007677019450571244,25000,False,646.9350229613483,0.0,663.636492773192,2186.9438669480733,1754.0101167301764,True,5
5000,20260726,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,0.0,0.0007677019450571244,25000,False,0.0,0.0,0.0,0.0,0.0,True,5
5000,20260726,tenant,Deep renovation + PV,False,True,1321907.7724136307,1245441.9611669802,771115.9331652399,1985188.9904348443,1.0,1.0,646348.024820619,0.0,0.0,1.0,726973.1264728542,5.3774,1.0,1.0,1.0,0.9999999999999999,1,True,0.9992322980549431,1.0,25000,False,6632.176321018953,0.0,2814.737034535501,1310.0187348399777,0.0,True,5
5000,20260726,tenant,Envelope + heat pump,False,True,747131.0273747816,702740.9895465557,429493.34344533604,1130361.8739350082,1.0,1.0,356123.6232235007,574776.7450388491,968037.7653943293,0.0,338875.6267006598,2.5478,1.0,1.0,1.0,0.9999999999999999,1,False,0.9992322980549431,1.0,25000,False,3787.976292995503,0.0,2292.6322148354957,912.9090131961275,3675.0995964301983,True,5
5000,20260726,tenant,Envelope retrofit,False,True,372660.0447435745,351258.39904930786,218287.84949746102,558404.8902163388,1.0,1.0,183388.24830202523,949247.7276700562,1621118.7589280952,0.0,84092.68577302963,1.5094,1.0,1.0,0.8512583990493079,0.9479404396672577,3,False,0.9992322980549431,1.0,25000,False,1864.5817535234382,0.0,703.0147109473473,343.8290153105918,7738.9754295561,True,5
5000,20260726,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1321907.7724136307,2254871.5570987165,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,0.0,0.0007677019450571244,25000,False,0.0,0.0,0.0,0.0,11562.844855712727,True,5
5000,20260726,combined_private,Deep renovation + PV,False,True,-684372.5779552354,-728566.5470089279,-1365874.3272922062,49490.841290486984,0.1148,0.1148,-1620474.6802034646,785990.5058180132,1560254.46422566,0.0224,726973.1264728542,5.3774,0.1148,0.0,0.0,0.03444,4,False,0.10625818190088983,0.12393325567758219,25000,False,7151.324051444768,0.005400000000000002,11472.141713144025,5735.457917427411,2693.6664018447045,True,5
5000,20260726,combined_private,Envelope + heat pump,False,True,-98193.0080995426,-132455.75966146454,-465614.94077854505,310454.61488337535,0.3356,0.3356,-591229.7439281192,199810.93596232036,560304.082717605,0.1904,338875.6267006598,2.5478,0.3356,0.21169367476250775,0.36754424033853544,0.30341327028536513,3,False,0.3226421566062878,0.3488102637932471,25000,False,4833.99892952251,0.008479999999999988,2958.4569262509467,2395.647923039156,635.891553993104,True,5
5000,20260726,combined_private,Envelope retrofit,False,True,25250.410138071322,9934.719690836075,-157926.89819136678,230147.10966371887,0.5294,0.5294,-214026.45490226883,76367.51772470641,243501.7370050179,0.3166,84092.68577302963,1.5094,0.5294,0.7146313934636416,0.5099347196908361,0.5874181396040672,1,True,0.5155476636632895,0.5432071954623411,25000,False,2511.5167764847756,0.0037200000000000566,241.8186173606955,431.01747495436575,1621.1137463317718,True,5
5000,20260726,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101617.92786277774,460034.07445988746,0.4706,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,0.0,0.0007677019450571244,25000,False,0.0,0.0,0.0,0.0,18928.94854353543,True,5
10000,20260726,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,0.0,0.00038399837067659573,25000,False,830.7279692855664,0.0,827.7440508482978,14699.630333549809,12824.934593447018,True,5
10000,20260726,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,0.0,0.00038399837067659573,25000,False,700.0695413636276,0.0,1434.3971137489425,8471.219902709825,6585.56693243701,True,5
10000,20260726,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,0.0,0.00038399837067659573,25000,False,146.8226970350952,0.0,26.336859682458453,2623.460052426264,3101.499380329682,True,5
