sample_size,perspective,scenario,independent_seeds,first_preference_rank_count,preference_rank_min,preference_rank_max,mean_net_benefit_eur_mean,mean_net_benefit_eur_min,mean_net_benefit_eur_max,mean_net_benefit_eur_std,probability_positive_mean,probability_positive_min,probability_positive_max,probability_positive_std,p10_net_benefit_eur_mean,p10_net_benefit_eur_min,p10_net_benefit_eur_max,p10_net_benefit_eur_std,worst_decile_mean_eur_mean,worst_decile_mean_eur_min,worst_decile_mean_eur_max,worst_decile_mean_eur_std,p95_regret_eur_mean,p95_regret_eur_min,p95_regret_eur_max,p95_regret_eur_std
10000,combined_private,Deep renovation + PV,5,0,4,4,-676591.0261547002,-685815.0013713983,-669740.3729641287,6478.486152081559,0.12128000000000001,0.1148,0.1259,0.004023307097401345,-1374050.2493466164,-1391350.7948286007,-1359800.117748886,11758.298722641654,-1621147.14176908,-1629226.7977423056,-1606502.8923527608,9909.619479966754,1562536.4633333958,1548014.1997309176,1577143.082761,13125.830021765085
10000,combined_private,Envelope + heat pump,5,0,3,3,-92982.2619413681,-98535.33218920596,-88946.76997557547,3641.3406352068614,0.34344,0.3365,0.3499,0.005276172855394329,-470157.04989104514,-479675.96590730484,-463752.4159450469,7103.670780914242,-592150.9332940518,-597592.2644005448,-584287.6285101157,4938.360135211231,562581.1501373437,554496.652596444,571378.5126705231,6740.294990562834
10000,combined_private,Envelope retrofit,5,5,1,1,27881.20117186811,25438.06548944825,29789.459171504855,1660.2881982841714,0.5328999999999999,0.5248,0.5383,0.0057240719771854565,-157850.74600458,-162011.48671735486,-153233.69823812015,3243.4614379177074,-214460.27084286348,-216173.33991148268,-212595.25138827093,1536.6952422492454,248684.27021454842,242424.1065578852,252073.43386903094,3806.5900258267066
10000,combined_private,Reference: no additional intervention,5,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487330.56766203186,467504.4961466273,500768.27299009624,12307.167735355668
10000,owner,Deep renovation + PV,5,0,3,3,-2005319.102755764,-2011228.9398632604,-1999791.342808609,4204.725224208016,0.0,0.0,0.0,0.0,-2457876.319901177,-2469477.130506429,-2452868.533126153,6764.912854864575,-2663534.726893176,-2676474.7668404267,-2656177.1791632646,8767.716391279946,2607601.2625281084,2598227.024798075,2622146.52267359,10712.864272757344
10000,owner,Envelope + heat pump,5,0,3,3,-844038.8666795727,-846486.5460597508,-841175.0407291296,1965.2009991730565,0.0,0.0,0.0,0.0,-1047703.3764655746,-1051524.5384905841,-1044867.9380349866,2751.7688388469915,-1148821.7801504422,-1155624.6474137935,-1144422.5514166884,4470.888983445975,1121558.6979504158,1116204.9033054353,1125719.4672820475,3949.7915943808775
10000,owner,Envelope retrofit,5,0,2,2,-346692.4253977734,-348004.8485045993,-345531.91092646477,910.7547770311148,0.0,0.0,0.0,0.0,-445967.40147920453,-448639.89356603706,-444386.74257088784,1590.7911748891559,-489092.3354121523,-490983.60600917455,-487451.0827841102,1499.8565534016534,478442.90318149247,476108.53531143843,480428.5700760451,1897.1824580718292
10000,owner,Reference: no additional intervention,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,tenant,Deep renovation + PV,5,5,1,1,1328728.0766010643,1320776.9292363275,1335811.255146869,5511.621379672991,1.0,1.0,1.0,0.0,768166.6630728052,764754.5267437457,772472.1448473763,2965.325203332186,642293.4718712645,639060.9058043862,647902.8142272215,3463.7645452315946,0.0,0.0,0.0,0.0
10000,tenant,Envelope + heat pump,5,5,1,1,751056.6047382047,746442.750189955,755174.4368684479,3202.7130244458676,1.0,1.0,1.0,0.0,426519.1538361297,424742.86608187633,428970.32172722695,1645.434745426404,353639.0158222472,351811.8273143611,356811.6653906729,1955.9041705037548,975173.3078004686,965299.52460462,986910.1126687921,8331.352420408155
